objectid,filename,title,creator,date,course,school,subject,word count,file Size,format,rights
dly01,abby_shapiro_the_conservative_advice_guru_against_feminism.pdf,Abby Shapiro: The Conservative Advice Guru Against Feminism,"Youngberg, Dani",2022-12-05,ENGL 284 - Introduction to Criticism,University of South Dakota,"Shapiro, Abigail; Feminist Theory; Women Conservatives; Anti-feminism","3,371",166 KB,application/pdf,Copyright 2022 Dani Youngberg
dly02,juvlit_essay_1.pdf,The Impact of Alice in Victorian England,"Youngberg, Dani",2024-02-23,ENGL 240 - Juvenile Literature,University of South Dakota,"Carroll, Lewis, 1832-1898. Alice's adventures in Wonderland; Children's literature, English—History—19th century",596,84 KB,application/pdf,Copyright 2024 Dani Youngberg
dly03,a_day_in_the_life_of_ivan_paper.pdf,The Survival of Humanity,"Youngberg, Dani",2021-11-23,ENGL 210 - Introduction to Literature,University of South Dakota,"Solzhenit͡syn, Aleksandr Isaevich, 1918-2008. Odin denʹ Ivana Denisovicha. English; Labor camps—Soviet Union—History—20th century; Self-preservation in literature","2,535",145 KB,application/pdf,Copyright 2021 Dani Youngberg
dly04,casting_off_essay_copy.pdf,Combating Loneliness at the Library,"Youngberg, Dani",2025-12-12,"SLIS 5010 - Libraries, Culture, and Society",University of Iowa,Loneliness—United States; Public Libraries—United States; Librarians—Professional ethics,"3,044",153 KB,application/pdf,Copyright 2025 Dani Youngberg
dly05,rhetoric_essay_2.pdf,Symbol use and misuse in Jesse Ball’s Census,"Youngberg, Dani",2025-05-05,ENGL 486 - Rhetorical Theory & Practice,University of South Dakota,"Ball, Jesse, 1978-; Semiotics; Signs and symbols; Burke, Kenneth, 1897-1993—Criticism and interpretation; Disabilities in literature",2183,104 KB,application/pdf,Copyright 2025 Dani Youngberg
dly06,short_story_character_analysis_a_good_man_is_hard_to_find.pdf,The Dangers of Self-Righteousness,"Youngberg, Dani",2021-10-12,ENGL 210 - Introduction to Literature,University of South Dakota,"O'Connor, Flannery—Characters",1686,110 KB,application/pdf,Copyright 2021 Dani Youngberg
dly07,the_deal_with_dani.pdf,The Deal with Dani,"Youngberg, Dani",2022-11-04,ENGL 284 - Introduction to Criticism,University of South Dakota,"Youngberg Dani; Identity (Psychology); Žižek, Slavoj—Criticism and interpretation",1903,116 KB,application/pdf,Copyright 2022 Dani Youngberg
dly08,the_handmaids_tale_historical_context.pdf,"Atwood, Abortion, and Birth Control: A History","Youngberg, Dani",2022-09-08,ENGL 284 - Introduction to Criticism,University of South Dakota,"Atwood, Margaret, 1939- Handmaid's tale; Birth control—Law and legislation—United States—History—20th century; Abortion—Law and legislation—United States—History—20th century",1317,107 KB,application/pdf,Copyright 2022 Dani Youngberg
dly09,the_takarazuka_revues_role_in_japanese_nationalism_and_imperialism.pdf,The Takarazuka Revue’s Role in Japanese Nationalism and Imperialism,"Youngberg, Dani",2023-10-30,ENGL 463 - Modern Drama & Theatre,University of South Dakota,Theater—Japan; Takarazuka Kagekidan—History—20th century; Nationalism—Japan; Imperialism—Japan; Male impersonators ,2663,148 KB,application/pdf,Copyright 2023 Dani Youngberg
dly10,rhetoric_essay_1_final.pdf,Female Rhetors of the Renaissance: How Margaret Fell and Juana Inés de la Cruz appealed for Women’s Rights,"Youngberg, Dani",2025-03-07,ENGL 486 - Rhetorical Theory & Practice,University of South Dakota,"Fell, Margaret, 1614-1702; Juana Inés de la Cruz, Sister, 1651-1695; Rhetoric, Renaissance; Women authors—History—17th century",2263,120 KB,application/pdf,Copyright 2025 Dani Youngberg
dly11,poem_explication_sins_of_the_father.pdf,The Cause and Effect of Human Actions,"Youngberg, Dani",2021-09-14,ENGL 210 - Introduction to Literature,University of South Dakota,"Ehrhart, W. D. (William Daniel), 1948-; Poetry",1085,91 KB,application/pdf,Copyright 2021 Dani Youngberg
dly12,senior_capstone_final_portfolio.pdf,Senior Capstion Portfolio,"Youngberg, Dani",2025-05-09,ENGL 489 - Senior Capstone ,University of South Dakota,"Semiotics; Signs and symbols; Ball, Jesse, 1978-; Morrison, Toni, 1931-2019; Orwell, George, 1903-1950",3779,156 KB,application/pdf,Copyright 2025 Dani Youngberg
dly13,reflection_statement_1_considering_community_needs.pdf,Reflection Statement #1: Considering Community Needs,"Youngberg, Dani",2025-10-11,"SLIS 5010 - Libraries, Culture, and Society",University of Iowa,Functional literacy; Adult services in public libraries,1025,61 KB,application/pdf,Copyright 2025 Dani Youngberg
dly14,juvenile_lit_final_essay.pdf,A Defense of The Giver and The Right to Choose,"Youngberg, Dani",2024-04-26,ENGL 240 - Juvenile Literature,University of South Dakota,"Lowry, Lois; Juvenile literature; Challenged books; Censorship; Intellectual freedom",670,90 KB,application/pdf,Copyright 2024 Dani Youngberg
dly15,final_reflection_then_now.pdf,Then/Now: Reading Rooms,"Youngberg, Dani",2025-12-14,SLIS 5630 - Intro to Special Collections & Archives,University of Iowa,Libraries—Special collections—United States; Reading rooms—History,733,137 KB,application/pdf,Copyright 2025 Dani Youngberg
